point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
midrange,1000000,100,wait_paper_slowest_heralded,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,100,wait_paper_slowest_heralded,Kelowna-Vancouver,5,52,78.0,0.09682853110646922,3.9,20.666647683769476,8.047974615775196,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,1000000,100,wait_paper_slowest_heralded,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,100,wait_paper_slowest_heralded,Ottawa-Toronto,6,52,75.0,0.12331143269440609,4.500000000000001,18.371155790470233,6.074946715088154,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,1000000,100,wait_coord_slowest_heralded,Calgary-Kamloops,8,52,75.0,0.12331143269440609,6.0,21.751499442312028,6.074946715088154,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,100,wait_coord_slowest_heralded,Edmonton-Saskatoon,7,100,75.7,0.22387211385683425,5.299999999999999,13.576718329230296,3.3782457836046254,10.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
midrange,1000000,100,wait_coord_slowest_heralded,Kamloops-Kelowna,3,14,63.3,0.08500830739673838,1.9000000000000001,13.041440482525768,7.427610240670564,10.0,KAM-KEL:1;KAM-KEL:2
midrange,1000000,100,wait_coord_slowest_heralded,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,100,wait_coord_slowest_heralded,Kelowna-Vancouver,5,52,78.0,0.09682853110646922,3.9,20.666647683769476,8.047974615775196,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,1000000,100,wait_coord_slowest_heralded,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,100,wait_coord_slowest_heralded,Ottawa-Toronto,6,52,75.0,0.12331143269440609,4.500000000000001,18.371155790470233,6.074946715088154,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,base_paper,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,base_paper,Kamloops-Kelowna,3,52,63.3,0.31574514175931395,1.9000000000000001,4.899618591449245,1.999741218642075,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,base_paper,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,base_paper,Kelowna-Vancouver,8,27,72.0,0.08153869645085443,5.500000000000001,25.265546368879214,8.816823185045731,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,base_paper,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,base_paper,Montreal-Toronto,9,27,75.0,0.0640270900528647,6.500000000000001,34.657201634167585,11.699897377206817,10.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,base_paper,Ottawa-Toronto,6,52,75.0,0.12331143269440609,4.500000000000001,18.371155790470233,6.074946715088154,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,base_coord,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,base_coord,Kamloops-Kelowna,3,52,63.3,0.31574514175931395,1.9000000000000001,4.899618591449245,1.999741218642075,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,base_coord,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,base_coord,Kelowna-Vancouver,8,27,72.0,0.08153869645085443,5.500000000000001,25.265546368879214,8.816823185045731,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,base_coord,Montreal-Ottawa,3,52,66.7,0.24136261934786468,2.0,6.133530114513128,2.7556805295357703,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,base_coord,Montreal-Toronto,9,27,75.0,0.0640270900528647,6.500000000000001,34.657201634167585,11.699897377206817,10.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,base_coord,Ottawa-Toronto,6,27,75.0,0.0640270900528647,4.500000000000001,31.214818559424156,11.699897377206817,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,wait_paper_storage_heralded,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,wait_paper_storage_heralded,Kamloops-Kelowna,3,100,63.3,0.6072021956909884,1.9000000000000001,3.459801667553608,1.039865433693879,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,wait_paper_storage_heralded,Montreal-Ottawa,3,100,66.7,0.46415888336127825,2.0,4.149435659546826,1.4329538753586002,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,wait_coord_storage_heralded,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,wait_coord_storage_heralded,Kamloops-Kelowna,3,100,63.3,0.6072021956909884,1.9000000000000001,3.459801667553608,1.039865433693879,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,wait_coord_storage_heralded,Montreal-Ottawa,3,100,66.7,0.46415888336127825,2.0,4.149435659546826,1.4329538753586002,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,wait_paper_storage_source,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,wait_paper_storage_source,Kamloops-Kelowna,3,27,63.3,0.16394459283656687,1.9000000000000001,7.677043213161509,3.851353458125477,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,wait_paper_storage_source,Kamloops-Vancouver,5,52,72.0,0.15703748946090484,3.6000000000000005,13.13744821013638,4.577965884542975,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,wait_paper_storage_source,Kelowna-Vancouver,8,27,72.0,0.08153869645085443,5.500000000000001,25.265546368879214,8.816823185045731,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,wait_paper_storage_source,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,wait_paper_storage_source,Montreal-Toronto,9,52,75.0,0.12331143269440609,6.500000000000001,21.120085463894696,6.074946715088154,10.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,wait_paper_storage_source,Ottawa-Toronto,6,27,75.0,0.0640270900528647,4.500000000000001,31.214818559424156,11.699897377206817,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,wait_coord_storage_source,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,wait_coord_storage_source,Kamloops-Kelowna,3,27,63.3,0.16394459283656687,1.9000000000000001,7.677043213161509,3.851353458125477,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,wait_coord_storage_source,Kamloops-Vancouver,5,52,72.0,0.15703748946090484,3.6000000000000005,13.13744821013638,4.577965884542975,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,wait_coord_storage_source,Kelowna-Vancouver,8,27,72.0,0.08153869645085443,5.500000000000001,25.265546368879214,8.816823185045731,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,wait_coord_storage_source,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,wait_coord_storage_source,Montreal-Toronto,9,52,75.0,0.12331143269440609,6.500000000000001,21.120085463894696,6.074946715088154,10.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,wait_coord_storage_source,Ottawa-Toronto,6,27,75.0,0.0640270900528647,4.500000000000001,31.214818559424156,11.699897377206817,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,wait_paper_slowest_heralded,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,wait_paper_slowest_heralded,Kamloops-Kelowna,3,27,63.3,0.16394459283656687,1.9000000000000001,7.677043213161509,3.851353458125477,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,wait_paper_slowest_heralded,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,wait_paper_slowest_heralded,Kelowna-Vancouver,5,52,78.0,0.09682853110646922,3.9,20.666647683769476,8.047974615775196,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,20,100,wait_paper_slowest_heralded,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,wait_paper_slowest_heralded,Ottawa-Toronto,6,52,75.0,0.12331143269440609,4.500000000000001,18.371155790470233,6.074946715088154,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,100,wait_coord_slowest_heralded,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,100,wait_coord_slowest_heralded,Kamloops-Kelowna,3,27,63.3,0.16394459283656687,1.9000000000000001,7.677043213161509,3.851353458125477,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,100,wait_coord_slowest_heralded,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,100,wait_coord_slowest_heralded,Kelowna-Vancouver,5,52,78.0,0.09682853110646922,3.9,20.666647683769476,8.047974615775196,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,20,100,wait_coord_slowest_heralded,Montreal-Ottawa,3,27,66.7,0.12532289850754513,2.0,9.960872813136394,5.307236575402224,10.0,OTT-MON:2;OTT-MON:1
midrange,20,100,wait_coord_slowest_heralded,Ottawa-Toronto,6,52,75.0,0.12331143269440609,4.500000000000001,18.371155790470233,6.074946715088154,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,10,100,base_paper,Calgary-Edmonton,2,100,150.0,0.0005623413251903491,3.0,2670.4189964170164,2667.4116150513546,10.0,CAL-EDM:2
midrange,10,100,base_paper,Kamloops-Kelowna,3,52,63.3,0.31574514175931395,1.9000000000000001,4.899618591449245,1.999741218642075,10.0,KAM-KEL:1;KAM-KEL:2
midrange,10,100,base_paper,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,10,100,base_paper,Kelowna-Vancouver,8,27,72.0,0.08153869645085443,5.500000000000001,25.265546368879214,8.816823185045731,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,10,100,base_paper,Montreal-Ottawa,3,100,66.7,0.46415888336127825,2.0,4.149435659546826,1.4329538753586002,10.0,OTT-MON:2;OTT-MON:1
midrange,10,100,base_coord,Calgary-Edmonton,2,100,150.0,0.0005623413251903491,3.0,2670.4189964170164,2667.4116150513546,10.0,CAL-EDM:2
midrange,10,100,base_coord,Kamloops-Kelowna,3,52,63.3,0.31574514175931395,1.9000000000000001,4.899618591449245,1.999741218642075,10.0,KAM-KEL:1;KAM-KEL:2
midrange,10,100,base_coord,Kamloops-Vancouver,5,27,72.0,0.08153869645085443,3.6000000000000005,21.968418775077474,8.816823185045731,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
