hardware,assumption,status,utility,served_pairs,n_repeaters
midrange,perfect gates (used in this project),optimal,70.80619843888185,12,54
midrange,legacy pair (misattributed readout),optimal,34.340145843027194,5,15
projected,perfect gates (used in this project),optimal,200.86032806688675,18,47
projected,legacy pair (misattributed readout),optimal,90.04455482653698,11,41
