point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
midrange,20,2048,base_coord,Kelowna-Vancouver,8,1024,72.0,3.0924305616916645,5.500000000000001,6.021161867148183,0.23247483007444797,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,2048,base_coord,Montreal-Ottawa,3,2048,66.7,9.505973931238978,2.0,2.104952913063806,0.06996845094524132,10.0,OTT-MON:2;OTT-MON:1
midrange,20,2048,wait_paper_storage_heralded,Calgary-Edmonton,4,2048,75.0,4.85657334919507,3.0,3.2827861983823676,0.15424669393778537,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,2048,wait_paper_storage_heralded,Kamloops-Kelowna,3,1024,63.3,6.217750483875721,1.9000000000000001,2.052324381597032,0.10154935875916755,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,2048,wait_paper_storage_heralded,Kamloops-Vancouver,5,1024,72.0,3.0924305616916645,3.6000000000000005,4.0843235419209885,0.23247483007444797,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,2048,wait_paper_storage_heralded,Kelowna-Vancouver,8,1024,72.0,3.0924305616916645,5.500000000000001,6.021161867148183,0.23247483007444797,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,2048,wait_paper_storage_heralded,Montreal-Ottawa,3,1024,66.7,4.752986965619489,2.0,2.20990582612762,0.1399369018904885,10.0,OTT-MON:2;OTT-MON:1
midrange,20,2048,wait_paper_storage_heralded,Montreal-Toronto,9,1024,75.0,2.428286674597535,6.500000000000001,7.2424262149634036,0.30849338787557035,10.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,2048,wait_paper_storage_heralded,Ottawa-Toronto,6,1024,75.0,2.428286674597535,4.500000000000001,5.204394629984817,0.30849338787557035,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,20,2048,wait_coord_storage_heralded,Calgary-Edmonton,4,2048,75.0,4.85657334919507,3.0,3.2827861983823676,0.15424669393778537,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,20,2048,wait_coord_storage_heralded,Kamloops-Kelowna,3,1024,63.3,6.217750483875721,1.9000000000000001,2.052324381597032,0.10154935875916755,10.0,KAM-KEL:1;KAM-KEL:2
midrange,20,2048,wait_coord_storage_heralded,Kamloops-Vancouver,5,1024,72.0,3.0924305616916645,3.6000000000000005,4.0843235419209885,0.23247483007444797,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,20,2048,wait_coord_storage_heralded,Kelowna-Vancouver,8,1024,72.0,3.0924305616916645,5.500000000000001,6.021161867148183,0.23247483007444797,10.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
