total_km,cliff_s,predicted_s,ratio
200.0,0.002005926494869713,0.002,1.0029632474348564
250.0,0.00250375840594335,0.0025,1.00150336237734
320.0,0.0032668207630448267,0.0032,1.0208814884515083
400.0,0.004077582088427923,0.004,1.0193955221069806
