rate_model,pair,hops,width,w_pmin
paper,Calgary-Edmonton,4,512,1.2141433372987676
paper,Calgary-Kamloops,8,256,0.6070716686493838
paper,Calgary-Kelowna,8,512,1.0977917456486765
paper,Calgary-Saskatoon,8,512,0.8114653145400904
paper,Calgary-Vancouver,13,256,0.6070716686493838
paper,Edmonton-Kamloops,12,512,1.2141433372987676
paper,Edmonton-Kelowna,12,256,0.5488958728243383
paper,Edmonton-Saskatoon,7,512,1.1462252229469914
paper,Edmonton-Vancouver,17,256,0.6070716686493838
paper,Kamloops-Kelowna,3,512,3.1088752419378607
paper,Kamloops-Saskatoon,19,256,0.5731126114734957
paper,Kamloops-Vancouver,5,512,1.5462152808458323
paper,Kelowna-Saskatoon,19,256,0.5488958728243383
paper,Kelowna-Vancouver,8,512,1.5462152808458323
paper,Montreal-Ottawa,3,1024,4.752986965619489
paper,Montreal-Toronto,9,1024,2.428286674597535
paper,Ottawa-Toronto,6,1024,2.428286674597535
paper,Saskatoon-Vancouver,19,512,0.004669495497502257
coordinated,Calgary-Edmonton,4,512,1.2141433372987676
coordinated,Calgary-Kamloops,8,256,0.6070716686493838
coordinated,Calgary-Kelowna,8,512,1.0977917456486765
coordinated,Calgary-Saskatoon,11,512,1.1462252229469914
coordinated,Calgary-Vancouver,13,256,0.6070716686493838
coordinated,Edmonton-Kamloops,12,512,1.2141433372987676
coordinated,Edmonton-Kelowna,12,256,0.5488958728243383
coordinated,Edmonton-Saskatoon,7,512,1.1462252229469914
coordinated,Edmonton-Vancouver,17,256,0.6070716686493838
coordinated,Kamloops-Kelowna,3,512,3.1088752419378607
coordinated,Kamloops-Saskatoon,16,256,0.4057326572700452
coordinated,Kamloops-Vancouver,5,512,1.5462152808458323
coordinated,Kelowna-Saskatoon,16,256,0.4057326572700452
coordinated,Kelowna-Vancouver,8,512,1.5462152808458323
coordinated,Montreal-Ottawa,3,1024,4.752986965619489
coordinated,Montreal-Toronto,9,1024,2.428286674597535
coordinated,Ottawa-Toronto,6,1024,2.428286674597535
coordinated,Saskatoon-Vancouver,19,512,0.004669495497502257
