point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated
projected,10,2048,paper,Saskatoon-Vancouver,7,512,300.0,CAL-SAS:5;CAL-SAS:3;Calgary;KAM-CAL:4;Kamloops;VAN-KAM:1,1.6190861620062102e-08,-9.755248830356539,-10.383352328884644
projected,10,2048,coordinated,Calgary-Edmonton,1,512,300.0,,1.6190861620062102e-08,-9.276386874474499,-9.276487270942805
projected,10,2048,coordinated,Calgary-Kamloops,2,256,300.0,KAM-CAL:4,8.095430810031051e-09,-10.356177564832983,-10.941168888541577
projected,10,2048,coordinated,Calgary-Kelowna,3,512,228.8,KEL-CAL:5;KEL-CAL:2,5.046844932611159e-06,-1.1519178665456389,-1.7369633752097802
projected,10,2048,coordinated,Calgary-Saskatoon,3,512,240.0,CAL-SAS:3;CAL-SAS:5,2.038308713233904e-06,-2.4599270539075406,-3.044975969315266
projected,10,2048,coordinated,Calgary-Vancouver,4,256,300.0,KAM-CAL:4;Kamloops;VAN-KAM:1,8.095430810031051e-09,-10.515782381455892,-11.143885774399555
projected,10,2048,coordinated,Edmonton-Kamloops,3,128,300.0,Calgary;KAM-CAL:4,4.047715405015526e-09,-11.435976053171,-12.310473677813064
projected,10,2048,coordinated,Edmonton-Kelowna,4,512,300.0,Calgary;KEL-CAL:5;KEL-CAL:2,1.6190861620062102e-08,-9.515782381455892,-9.51596789752846
projected,10,2048,coordinated,Edmonton-Vancouver,5,512,300.0,Calgary;KAM-CAL:4;Kamloops;VAN-KAM:1,1.6190861620062102e-08,-9.595596591966522,-10.489185725988863
projected,10,2048,coordinated,Kamloops-Kelowna,1,512,190.0,,0.00011462252229469889,3.513036290841845,3.5129360558403366
projected,10,2048,coordinated,Kamloops-Saskatoon,5,128,300.0,KAM-CAL:4;Calgary;CAL-SAS:3;CAL-SAS:5,4.047715405015526e-09,-11.595596591966522,-12.180711242325643
projected,10,2048,coordinated,Kamloops-Vancouver,2,1024,288.0,VAN-KAM:1,8.51726101609135e-08,-6.96096776498029,-6.961224497179317
projected,10,2048,coordinated,Kelowna-Saskatoon,6,512,240.0,KEL-CAL:2;KEL-CAL:5;Calgary;CAL-SAS:3;CAL-SAS:5,2.038308713233904e-06,-2.699369728032892,-3.3721814893430273
projected,10,2048,coordinated,Montreal-Ottawa,1,1024,200.0,,0.0001024,3.3503614576312692,3.3502611332749064
projected,10,2048,coordinated,Montreal-Toronto,3,1024,225.0,Ottawa;TOR-OTT:3,1.3655259465352438e-05,0.2840851959083261,-0.30409444702956884
projected,10,2048,coordinated,Ottawa-Toronto,2,1024,225.0,TOR-OTT:3,1.3655259465352438e-05,0.3638836842463442,-0.22110762986573812
projected,10,2048,coordinated,Saskatoon-Vancouver,7,256,300.0,CAL-SAS:5;CAL-SAS:3;Calgary;KAM-CAL:4;Kamloops;VAN-KAM:1,8.095430810031051e-09,-10.755248830356539,-11.383352328884644
