point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated
projected,1000000,2048,paper,Edmonton-Vancouver,17,256,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.6070716686493838,14.606185987090317,12.904257229819729
projected,1000000,2048,paper,Kamloops-Kelowna,3,512,63.3,KAM-KEL:1;KAM-KEL:2,3.1088752419378607,18.080661666145986,17.210555201544086
projected,1000000,2048,paper,Kamloops-Saskatoon,19,256,75.7,KAM-CAL:1;KAM-CAL:2;KAM-CAL:3;KAM-CAL:4;KAM-CAL:5;KAM-CAL:6;KAM-CAL:7;Calgary;CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.5731126114734957,14.36328792745396,12.588734567960229
projected,1000000,2048,paper,Kamloops-Vancouver,5,512,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,16.91338960523463,15.72440079389363
projected,1000000,2048,paper,Kelowna-Saskatoon,19,256,76.2,KEL-CAL:1;KEL-CAL:2;KEL-CAL:3;KEL-CAL:4;KEL-CAL:5;KEL-CAL:6;KEL-CAL:7;Calgary;CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.5488958728243383,14.30100177567482,12.52604184353443
projected,1000000,2048,paper,Kelowna-Vancouver,8,512,72.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,16.673899252822064,15.444750501404048
projected,1000000,2048,paper,Montreal-Ottawa,3,1024,66.7,OTT-MON:2;OTT-MON:1,4.752986965619489,18.693103388409128,17.82196045583306
projected,1000000,2048,paper,Montreal-Toronto,9,1024,75.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,2.428286674597535,17.245250634317966,15.922842804033921
projected,1000000,2048,paper,Ottawa-Toronto,6,1024,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,2.428286674597535,17.484765019941626,16.193667043041764
projected,1000000,2048,paper,Saskatoon-Vancouver,19,512,144.0,CAL-SAS:7;CAL-SAS:6;CAL-SAS:5;CAL-SAS:4;CAL-SAS:3;CAL-SAS:2;CAL-SAS:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:2,0.004669495497502257,7.423879780673162,6.838842287447714
projected,1000000,2048,coordinated,Calgary-Edmonton,4,512,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,1.2141433372987676,16.644401365782088,15.58719144904288
projected,1000000,2048,coordinated,Calgary-Kamloops,8,256,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.6070716686493838,15.325096802858893,13.884310948628297
projected,1000000,2048,coordinated,Calgary-Kelowna,8,256,76.2,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,15.179762448707569,13.738812359780564
projected,1000000,2048,coordinated,Calgary-Saskatoon,11,512,75.7,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,1.1462252229469914,16.002485755445214,14.438344372808919
projected,1000000,2048,coordinated,Calgary-Vancouver,13,512,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.2141433372987676,15.925784532327716,14.366108772559535
projected,1000000,2048,coordinated,Edmonton-Kamloops,12,512,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,1.2141433372987676,16.005663361096413,14.373585488091095
projected,1000000,2048,coordinated,Edmonton-Kelowna,12,256,76.2,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.5488958728243383,14.860329006945092,13.272215946422687
projected,1000000,2048,coordinated,Edmonton-Saskatoon,7,512,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,1.1462252229469914,16.321886714509258,14.948931892998232
projected,1000000,2048,coordinated,Edmonton-Vancouver,17,256,75.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.6070716686493838,14.606185987090317,12.904257229819729
projected,1000000,2048,coordinated,Kamloops-Kelowna,3,512,63.3,KAM-KEL:1;KAM-KEL:2,3.1088752419378607,18.080661666145986,17.210555201544086
projected,1000000,2048,coordinated,Kamloops-Saskatoon,16,256,80.0,KAM-CAL:1;KAM-CAL:2;KAM-CAL:3;KAM-CAL:4;KAM-CAL:5;KAM-CAL:6;KAM-CAL:7;Calgary;CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7,0.4057326572700452,14.104760783154182,12.55639668915735
projected,1000000,2048,coordinated,Kamloops-Vancouver,5,512,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,16.91338960523463,15.72440079389363
projected,1000000,2048,coordinated,Kelowna-Saskatoon,16,512,80.0,KEL-CAL:1;KEL-CAL:2;KEL-CAL:3;KEL-CAL:4;KEL-CAL:5;KEL-CAL:6;KEL-CAL:7;Calgary;CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7,0.8114653145400904,15.104760783154182,13.519030670521143
projected,1000000,2048,coordinated,Kelowna-Vancouver,8,512,72.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,1.5462152808458323,16.673899252822064,15.444750501404048
projected,1000000,2048,coordinated,Montreal-Ottawa,3,1024,66.7,OTT-MON:2;OTT-MON:1,4.752986965619489,18.693103388409128,17.82196045583306
projected,1000000,2048,coordinated,Montreal-Toronto,9,1024,75.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,2.428286674597535,17.245250634317966,15.922842804033921
projected,1000000,2048,coordinated,Ottawa-Toronto,6,1024,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,2.428286674597535,17.484765019941626,16.193667043041764
projected,1000000,2048,coordinated,Saskatoon-Vancouver,20,256,144.0,CAL-SAS:7;CAL-SAS:6;CAL-SAS:5;CAL-SAS:4;CAL-SAS:3;CAL-SAS:2;CAL-SAS:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:2;VAN-KAM:1,0.0023347477487511287,6.343942041755941,6.343632056464148
projected,20,2048,paper,Calgary-Edmonton,4,512,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,1.2141433372987676,16.644401365782088,15.58719144904288
projected,20,2048,paper,Calgary-Kamloops,5,256,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,0.0014395937924872937,6.84452590619213,5.969978957721666
projected,20,2048,paper,Calgary-Kelowna,6,256,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,0.0014395937924872937,6.764703770862301,5.869103956288814
projected,20,2048,paper,Calgary-Saskatoon,6,512,151.4,CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.0025660786361716404,7.598607366117936,6.453995343679967
projected,20,2048,paper,Calgary-Vancouver,7,512,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,0.0028791875849745875,7.684873667802113,6.611117068613982
projected,20,2048,paper,Edmonton-Kamloops,7,128,150.0,CAL-EDM:2;Calgary;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,0.0007197968962436469,5.684873667802113,4.493654350179557
projected,20,2048,paper,Edmonton-Kelowna,8,128,150.0,CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,0.0007197968962436469,5.605035553779566,4.407099930547275
projected,20,2048,paper,Edmonton-Saskatoon,4,1024,151.4,EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.005132157272343281,8.758243711958396,7.883695682642817
projected,20,2048,paper,Edmonton-Vancouver,9,256,150.0,CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,0.0014395937924872937,6.525189385238638,5.234291056325243
projected,20,2048,paper,Kamloops-Kelowna,3,1024,63.3,KAM-KEL:1;KAM-KEL:2,6.217750483875721,19.080661666145986,18.21055520154409
projected,20,2048,paper,Kamloops-Saskatoon,10,128,151.4,KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.0006415196590429101,5.279238713551697,3.875209489178314
projected,20,2048,paper,Kamloops-Vancouver,3,512,144.0,VAN-KAM:4;VAN-KAM:2,0.004669495497502257,8.701751344913998,8.116716143795898
projected,20,2048,paper,Kelowna-Saskatoon,11,128,151.4,KAM-KEL:1;KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.0006415196590429101,5.199376303993707,3.7940745760971617
projected,20,2048,paper,Kelowna-Vancouver,4,512,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.004669495497502257,8.621945016629107,7.950349259705571
projected,20,2048,paper,Montreal-Ottawa,3,1024,66.7,OTT-MON:2;OTT-MON:1,4.752986965619489,18.693103388409128,17.82196045583306
projected,20,2048,paper,Montreal-Toronto,5,1024,150.0,OTT-MON:2;Ottawa;TOR-OTT:4;TOR-OTT:2,0.005758375169949175,8.84452590619213,7.963581746497685
projected,20,2048,paper,Ottawa-Toronto,3,1024,150.0,TOR-OTT:4;TOR-OTT:2,0.005758375169949175,9.004146444987652,8.129652876767487
projected,20,2048,paper,Saskatoon-Vancouver,12,256,151.4,EDM-SAS:5;EDM-SAS:3;EDM-SAS:1;CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,0.0012830393180858202,6.119505707272723,4.679719998010347
projected,20,2048,coordinated,Calgary-Edmonton,4,512,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,1.2141433372987676,16.644401365782088,15.58719144904288
