point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
midrange,30,100,paper,Montreal-Toronto,9,27,75.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.0640270900528647,3.940385967991925,2.6179781377078823,-25.398931219817825
midrange,30,100,paper,Ottawa-Toronto,6,52,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.12331143269440609,6.90842189886801,5.617323921968148,-8.708251577425306
midrange,30,100,coordinated,Calgary-Edmonton,4,52,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.12331143269440609,8.219456367883145,7.162246451143939,-1.1851009231248444
midrange,30,100,coordinated,Calgary-Saskatoon,11,27,75.7,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.06044547074134525,2.4536904546511096,0.8895490720148128,-38.16616347323427
midrange,30,100,coordinated,Edmonton-Saskatoon,7,27,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.06044547074134525,5.214302922778379,3.8413481012673536,-19.367730623443688
midrange,30,100,coordinated,Kamloops-Kelowna,3,27,63.3,KAM-KEL:1;KAM-KEL:2,0.16394459283656687,9.277588385649226,8.407481921047328,3.722996037763886
midrange,30,100,coordinated,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,30,100,coordinated,Kelowna-Vancouver,5,52,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,0.09682853110646922,7.218156136033142,6.028330399138352,-6.5955558203011915
midrange,30,100,coordinated,Montreal-Ottawa,3,27,66.7,OTT-MON:2;OTT-MON:1,0.12532289850754513,8.890030107912368,8.018887175336305,2.6388487205231295
midrange,30,100,coordinated,Montreal-Toronto,9,27,75.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.0640270900528647,3.940385967991925,2.6179781377078823,-25.398931219817825
midrange,30,100,coordinated,Ottawa-Toronto,6,52,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.12331143269440609,6.90842189886801,5.617323921968148,-8.708251577425306
midrange,30,100,ext,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,30,100,ext,Kamloops-Kelowna,3,100,63.3,KAM-KEL:1;KAM-KEL:2,0.6072021956909884,11.166557073260481,10.296450608658583,8.517707569497244
midrange,30,100,ext,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,20,100,paper,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,20,100,paper,Kamloops-Kelowna,3,52,63.3,KAM-KEL:1;KAM-KEL:2,0.31574514175931395,10.22314060162685,9.35303413702495,6.247302309227804
midrange,20,100,paper,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,20,100,paper,Kelowna-Vancouver,8,27,72.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,4.972483791829318,3.743335040411302,-17.938599761216953
