point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common
lhs022,lhs,7804.387588399056,0.04661650289400814,0.9431074626328709,0.7163797961053755,1000000,2048,optimal,88.67401696624569,55,18,7.611111111111111,optimal,65.77272930492558,55,18,7.611111111111111,0.0006430429264664531,1.0255901798100329,changed,routing,0.04169471835344041,0.0,0.0023163732418578003,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0023163732418574117
lhs022,lhs,7804.387588399056,0.04661650289400814,0.9431074626328709,0.7163797961053755,20,2048,optimal,16.054486647891434,20,18,6.111111111111111,optimal,-2.3448523407201516,20,18,6.111111111111111,0.0006415196590429101,0.002722633110573114,tie,,-1.3322676295501878e-15,-3.552713678800501e-15,-7.401486830834377e-17,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,-4.9343245538895844e-17
lhs022,lhs,7804.387588399056,0.04661650289400814,0.9431074626328709,0.7163797961053755,10,2048,optimal,-187.92562690771467,10,16,3.25,optimal,-195.1368468784483,10,16,3.25,8.095430810031051e-09,2.9388583350259428e-08,tie,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,32.0,-2.7755575615628914e-17
lhs023,lhs,18226.574840627403,0.003508990818421679,0.9395313135413971,0.7065335582828588,1000000,2048,optimal,43.13719112031242,7,3,3.3333333333333335,optimal,40.33873180639564,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs023,lhs,18226.574840627403,0.003508990818421679,0.9395313135413971,0.7065335582828588,20,2048,optimal,43.13719112031242,7,3,3.3333333333333335,optimal,40.33873180639564,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs023,lhs,18226.574840627403,0.003508990818421679,0.9395313135413971,0.7065335582828588,10,2048,optimal,43.13719112031242,7,3,3.3333333333333335,optimal,40.33873180639564,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs024,lhs,4790.736209824707,0.008017270466941315,0.9642639297742758,0.5561160684323815,1000000,2048,optimal,81.51886345590432,53,11,5.818181818181818,optimal,67.98131598494824,53,11,5.818181818181818,0.8114653145400904,2.043148610528134,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs024,lhs,4790.736209824707,0.008017270466941315,0.9642639297742758,0.5561160684323815,20,2048,optimal,26.500694807983873,20,11,3.727272727272727,optimal,17.314054390709728,20,11,3.727272727272727,0.0012860858529329061,0.005758375169949175,tie,,0.0,0.0,0.0,0.8181818181818182,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lhs024,lhs,4790.736209824707,0.008017270466941315,0.9642639297742758,0.5561160684323815,10,2048,optimal,-51.77341409098307,10,10,2.4,optimal,-55.37364643964139,10,10,2.4,1.6190861620062102e-08,1.3655259465352438e-05,changed,routing,0.5850319492918743,-1.4210854715202004e-14,0.05850319492918743,0.8181818181818182,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.058503194929187
lhs025,lhs,1667.4084333327887,0.002763358321097805,0.9874550722896096,0.8503714041977402,1000000,2048,optimal,25.134784171554987,4,2,3.0,optimal,23.393534774377414,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
