point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,statuses_ok,base_paper_served,base_paper_repeaters,base_coord_served,base_coord_repeaters,unreachable_storage_heralded,median_wait_over_t2_storage_heralded,unreachable_storage_source,median_wait_over_t2_storage_source,unreachable_slowest_heralded,median_wait_over_t2_slowest_heralded,base_coord_kind,base_coord_d_served,base_coord_d_repeaters,base_coord_site_jaccard,base_coord_pairs_path_differs,base_coord_pairs_width_differs,base_coord_d_mean_hops,base_coord_d_mean_width,base_coord_d_mean_worst_link_km,wait_paper_storage_heralded_kind,wait_paper_storage_heralded_served,wait_paper_storage_heralded_repeaters,wait_paper_storage_heralded_d_served,wait_paper_storage_heralded_d_repeaters,wait_paper_storage_heralded_site_jaccard,wait_paper_storage_heralded_pairs_path_differs,wait_paper_storage_heralded_pairs_width_differs,wait_paper_storage_heralded_d_mean_hops,wait_paper_storage_heralded_d_mean_width,wait_paper_storage_heralded_d_mean_worst_link_km,wait_coord_storage_heralded_kind,wait_coord_storage_heralded_served,wait_coord_storage_heralded_repeaters,wait_coord_storage_heralded_d_served,wait_coord_storage_heralded_d_repeaters,wait_coord_storage_heralded_site_jaccard,wait_coord_storage_heralded_pairs_path_differs,wait_coord_storage_heralded_pairs_width_differs,wait_coord_storage_heralded_d_mean_hops,wait_coord_storage_heralded_d_mean_width,wait_coord_storage_heralded_d_mean_worst_link_km,wait_paper_storage_source_kind,wait_paper_storage_source_served,wait_paper_storage_source_repeaters,wait_paper_storage_source_d_served,wait_paper_storage_source_d_repeaters,wait_paper_storage_source_site_jaccard,wait_paper_storage_source_pairs_path_differs,wait_paper_storage_source_pairs_width_differs,wait_paper_storage_source_d_mean_hops,wait_paper_storage_source_d_mean_width,wait_paper_storage_source_d_mean_worst_link_km,wait_coord_storage_source_kind,wait_coord_storage_source_served,wait_coord_storage_source_repeaters,wait_coord_storage_source_d_served,wait_coord_storage_source_d_repeaters,wait_coord_storage_source_site_jaccard,wait_coord_storage_source_pairs_path_differs,wait_coord_storage_source_pairs_width_differs,wait_coord_storage_source_d_mean_hops,wait_coord_storage_source_d_mean_width,wait_coord_storage_source_d_mean_worst_link_km,wait_paper_slowest_heralded_kind,wait_paper_slowest_heralded_served,wait_paper_slowest_heralded_repeaters,wait_paper_slowest_heralded_d_served,wait_paper_slowest_heralded_d_repeaters,wait_paper_slowest_heralded_site_jaccard,wait_paper_slowest_heralded_pairs_path_differs,wait_paper_slowest_heralded_pairs_width_differs,wait_paper_slowest_heralded_d_mean_hops,wait_paper_slowest_heralded_d_mean_width,wait_paper_slowest_heralded_d_mean_worst_link_km,wait_coord_slowest_heralded_kind,wait_coord_slowest_heralded_served,wait_coord_slowest_heralded_repeaters,wait_coord_slowest_heralded_d_served,wait_coord_slowest_heralded_d_repeaters,wait_coord_slowest_heralded_site_jaccard,wait_coord_slowest_heralded_pairs_path_differs,wait_coord_slowest_heralded_pairs_width_differs,wait_coord_slowest_heralded_d_mean_hops,wait_coord_slowest_heralded_d_mean_width,wait_coord_slowest_heralded_d_mean_worst_link_km
lhs027,lhs,170155.92408797753,0.003711671538296881,0.9515351899127663,0.7929561818444658,1000000,100,1,4,11,4,11,4,1.8443280598857008,1,0.6822168636651826,1,0.6949313075336155,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,1,2,-3,-9,0.18181818181818182,0,1,0.0,48.0,0.0,served_and_memory,1,2,-3,-9,0.18181818181818182,0,1,0.0,48.0,0.0,memory_only,4,11,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,4,11,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,3,7,-1,-4,0.6363636363636364,0,1,0.0,16.0,0.0,served_and_memory,3,7,-1,-4,0.6363636363636364,0,1,0.0,16.0,0.0
lhs027,lhs,170155.92408797753,0.003711671538296881,0.9515351899127663,0.7929561818444658,20,100,1,4,11,4,11,4,1.8443280598857008,1,0.6822168636651826,1,0.6949313075336155,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,1,2,-3,-9,0.18181818181818182,0,1,0.0,48.0,0.0,served_and_memory,1,2,-3,-9,0.18181818181818182,0,1,0.0,48.0,0.0,memory_only,4,11,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,4,11,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,3,7,-1,-4,0.6363636363636364,0,1,0.0,16.0,0.0,served_and_memory,3,7,-1,-4,0.6363636363636364,0,1,0.0,16.0,0.0
lhs027,lhs,170155.92408797753,0.003711671538296881,0.9515351899127663,0.7929561818444658,10,100,1,4,10,4,10,4,2.954047701520141,1,0.905687701384543,2,1.0422444573232559,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,routing,1,2,-3,-8,0.09090909090909091,1,1,1.0,73.0,-63.333333333333336,routing,1,2,-3,-8,0.09090909090909091,1,1,1.0,73.0,-63.333333333333336,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111
lhs028,lhs,23361.528755511594,0.01724989740487639,0.9534910561489287,0.7471816943810425,1000000,100,1,14,55,11,53,12,2.419159408010632,0,0.41675137841649623,4,0.7440368433045086,served_and_memory,-3,-2,0.9636363636363636,0,6,0.0,6.909090909090909,0.0,served_and_memory,4,11,-10,-44,0.2,0,3,0.0,46.0,0.0,served_and_memory,4,11,-10,-44,0.2,0,3,0.0,46.0,0.0,memory_only,14,55,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,11,53,-3,-2,0.9636363636363636,0,6,0.0,6.909090909090909,0.0,served_and_memory,11,47,-3,-8,0.8545454545454545,0,7,0.0,4.636363636363637,0.0,served_and_memory,10,46,-4,-9,0.8363636363636363,0,6,0.0,6.4,0.0
lhs028,lhs,23361.528755511594,0.01724989740487639,0.9534910561489287,0.7471816943810425,20,100,1,7,18,7,18,4,1.2243600624502404,0,0.27200385937434973,0,0.3521729186267984,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,4,11,-3,-7,0.6111111111111112,0,3,0.0,18.25,0.0,served_and_memory,4,11,-3,-7,0.6111111111111112,0,3,0.0,18.25,0.0,memory_only,7,18,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,7,18,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,7,18,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,7,18,0,0,1.0,0,2,0.0,0.0,0.0
lhs028,lhs,23361.528755511594,0.01724989740487639,0.9534910561489287,0.7471816943810425,10,100,1,5,10,5,10,2,0.7615957302112731,1,0.2415678180442506,1,0.2653909050640976,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0
lhs029,lhs,2161.6412226257858,0.002743952549618384,0.9848672358459922,0.70563045181447,1000000,100,1,2,4,2,4,2,1.3865468133110923,2,1.1900480109850409,0,0.4505944006568895,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0
lhs029,lhs,2161.6412226257858,0.002743952549618384,0.9848672358459922,0.70563045181447,20,100,1,2,4,2,4,2,1.3865468133110923,2,1.1900480109850409,0,0.4505944006568895,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0
lhs029,lhs,2161.6412226257858,0.002743952549618384,0.9848672358459922,0.70563045181447,10,100,1,2,4,2,4,2,1.3865468133110923,2,1.1900480109850409,0,0.4505944006568895,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0
lhs030,lhs,3083.66940903978,0.0016501095170635101,0.9688282838534925,0.8661808977773877,1000000,100,1,0,0,0,0,0,,0,,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs030,lhs,3083.66940903978,0.0016501095170635101,0.9688282838534925,0.8661808977773877,20,100,1,0,0,0,0,0,,0,,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs030,lhs,3083.66940903978,0.0016501095170635101,0.9688282838534925,0.8661808977773877,10,100,1,0,0,0,0,0,,0,,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs031,lhs,1723.0733420000397,0.007378837211407541,0.9413193628608753,0.5071339749924623,1000000,100,1,5,15,3,7,3,1.1914426475325202,3,1.0139127674796213,2,0.4281124791535081,served_and_memory,-2,-8,0.4666666666666667,0,1,0.0,16.0,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,24.0,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,24.0,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,24.0,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,24.0,0.0,served_and_memory,4,11,-1,-4,0.7333333333333333,0,2,0.0,0.0,0.0,served_and_memory,3,7,-2,-8,0.4666666666666667,0,1,0.0,16.0,0.0
lhs031,lhs,1723.0733420000397,0.007378837211407541,0.9413193628608753,0.5071339749924623,20,100,1,5,15,3,7,4,1.1914426475325202,3,1.0139127674796213,2,0.5219458497026278,served_and_memory,-2,-8,0.4666666666666667,0,1,0.0,24.333333333333332,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,36.5,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,36.5,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,36.5,0.0,served_and_memory,2,4,-3,-11,0.26666666666666666,0,1,0.0,36.5,0.0,served_and_memory,4,11,-1,-4,0.7333333333333333,0,1,0.0,6.25,0.0,served_and_memory,3,7,-2,-8,0.4666666666666667,0,1,0.0,24.333333333333332,0.0
lhs031,lhs,1723.0733420000397,0.007378837211407541,0.9413193628608753,0.5071339749924623,10,100,1,3,7,3,7,1,0.5623427568142956,1,0.5246306816550498,0,0.1941977894760005,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,2,4,-1,-3,0.5714285714285714,0,0,0.0,0.0,0.0,served_set_only,2,4,-1,-3,0.5714285714285714,0,0,0.0,0.0,0.0,served_set_only,2,4,-1,-3,0.5714285714285714,0,0,0.0,0.0,0.0,served_set_only,2,4,-1,-3,0.5714285714285714,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0
lhs032,lhs,43320.310070955435,0.014762788799136319,0.9417895403471951,0.5121743781190073,1000000,100,1,11,53,9,39,8,2.114425599670595,0,0.3605173523435368,3,0.7925262317571939,served_and_memory,-2,-14,0.7358490566037735,0,5,0.0,1.4444444444444444,0.0,served_and_memory,4,11,-7,-42,0.20754716981132076,0,2,0.0,30.25,0.0,served_and_memory,4,11,-7,-42,0.20754716981132076,0,2,0.0,30.25,0.0,memory_only,11,53,0,0,1.0,0,6,0.0,0.0,0.0,served_and_memory,9,39,-2,-14,0.7358490566037735,0,7,0.0,1.4444444444444444,0.0,served_and_memory,10,46,-1,-7,0.8679245283018868,0,6,0.0,0.0,0.0,served_and_memory,9,39,-2,-14,0.7358490566037735,0,7,0.0,1.4444444444444444,0.0
lhs032,lhs,43320.310070955435,0.014762788799136319,0.9417895403471951,0.5121743781190073,20,100,1,6,20,6,20,3,0.9977149110323846,0,0.24951792110003673,0,0.4030176220700533,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,4,11,-2,-9,0.55,0,2,0.0,18.25,0.0,served_and_memory,4,11,-2,-9,0.55,0,2,0.0,18.25,0.0,memory_only,6,20,0,0,1.0,0,2,0.0,0.0,0.0,identical,6,20,0,0,1.0,0,0,0.0,0.0,0.0,memory_only,6,20,0,0,1.0,0,2,0.0,0.0,0.0,identical,6,20,0,0,1.0,0,0,0.0,0.0,0.0
lhs032,lhs,43320.310070955435,0.014762788799136319,0.9417895403471951,0.5121743781190073,10,100,1,5,10,3,7,3,1.0677440461860286,1,0.2837477672165328,1,0.31010169872583987,routing,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0
lhs033,lhs,138193.5704766232,0.035729488491646644,0.9622164734616971,0.8944865121168433,1000000,100,1,17,55,17,55,12,1.2417636773859542,0,0.1797885106714612,1,0.4338098197890227,memory_only,0,0,1.0,0,6,0.0,0.0,0.0,served_and_memory,9,39,-8,-16,0.7090909090909091,0,4,0.0,11.222222222222221,0.0,served_and_memory,9,39,-8,-16,0.7090909090909091,0,4,0.0,11.222222222222221,0.0,memory_only,17,55,0,0,1.0,0,8,0.0,0.0,0.0,memory_only,17,55,0,0,1.0,0,6,0.0,0.0,0.0,routing,17,56,0,1,0.9821428571428571,1,8,0.17647058823529413,0.0,-0.25210084033613483,routing,17,56,0,1,0.9821428571428571,1,8,0.17647058823529413,0.0,-0.25210084033613483
lhs033,lhs,138193.5704766232,0.035729488491646644,0.9622164734616971,0.8944865121168433,20,100,1,11,20,11,20,6,1.2038330766335628,0,0.1837272150275364,0,0.3274577350846259,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,7,18,-4,-2,0.46153846153846156,0,3,0.0,10.0,0.0,served_and_memory,7,18,-4,-2,0.46153846153846156,0,3,0.0,5.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0,identical,11,20,0,0,1.0,0,0,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0
lhs033,lhs,138193.5704766232,0.035729488491646644,0.9622164734616971,0.8944865121168433,10,100,1,5,10,5,10,1,0.44117283820239594,0,0.10592394548982563,1,0.12812850331213885,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0,memory_only,5,10,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,5,10,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0
lhs034,lhs,6017.555774199492,0.03789115761249576,0.9673309595687439,0.6363947244116888,1000000,100,1,11,53,10,46,3,0.6452655016637606,0,0.2459733392588614,0,0.3087764564191731,served_and_memory,-1,-7,0.8679245283018868,0,3,0.0,1.3,0.0,served_and_memory,9,39,-2,-14,0.7358490566037735,0,3,0.0,1.4444444444444444,0.0,served_and_memory,9,39,-2,-14,0.7358490566037735,0,5,0.0,1.4444444444444444,0.0,memory_only,11,53,0,0,1.0,0,4,0.0,0.0,0.0,served_and_memory,10,46,-1,-7,0.8679245283018868,0,3,0.0,1.3,0.0,identical,11,53,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,10,46,-1,-7,0.8679245283018868,0,3,0.0,1.3,0.0
lhs034,lhs,6017.555774199492,0.03789115761249576,0.9673309595687439,0.6363947244116888,20,100,1,6,20,6,20,0,0.30479830227798854,0,0.13307245090801062,0,0.1304420751806914,memory_only,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,6,20,0,0,1.0,0,2,0.0,0.0,0.0,identical,6,20,0,0,1.0,0,0,0.0,0.0,0.0,memory_only,6,20,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,6,20,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,6,20,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,6,20,0,0,1.0,0,2,0.0,0.0,0.0
lhs034,lhs,6017.555774199492,0.03789115761249576,0.9673309595687439,0.6363947244116888,10,100,1,3,7,3,7,0,0.10950933993577498,0,0.06692303349248255,0,0.03781763254670372,identical,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0,identical,3,7,0,0,1.0,0,0,0.0,0.0,0.0
lhs035,lhs,50234.91195021854,0.029998893493121025,0.9622546732123407,0.5724501261920757,1000000,100,1,11,53,11,53,5,0.8150252885512005,0,0.17364186487507688,0,0.3900109642340539,memory_only,0,0,1.0,0,6,0.0,0.0,0.0,served_and_memory,8,33,-3,-20,0.6226415094339622,0,4,0.0,1.5,0.0,served_and_memory,8,33,-3,-20,0.6226415094339622,0,4,0.0,1.5,0.0,memory_only,11,53,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,2,0.0,0.0,0.0
lhs035,lhs,50234.91195021854,0.029998893493121025,0.9622546732123407,0.5724501261920757,20,100,1,7,18,6,20,1,0.7040288158874157,0,0.1369333127290599,0,0.2025056929676818,routing,-1,2,0.7272727272727273,1,3,-0.5,4.166666666666667,1.0,routing,6,20,-1,2,0.7272727272727273,1,3,-0.5,4.166666666666667,1.0,routing,6,20,-1,2,0.7272727272727273,1,3,-0.5,4.166666666666667,1.0,memory_only,7,18,0,0,1.0,0,4,0.0,0.0,0.0,routing,6,20,-1,2,0.7272727272727273,1,3,-0.5,4.166666666666667,1.0,memory_only,7,18,0,0,1.0,0,2,0.0,0.0,0.0,routing,6,20,-1,2,0.7272727272727273,1,3,-0.5,4.166666666666667,1.0
lhs035,lhs,50234.91195021854,0.029998893493121025,0.9622546732123407,0.5724501261920757,10,100,1,5,10,5,10,1,0.43793109279676923,1,0.1287944249702665,1,0.15260449141541627,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,24.333333333333332,-25.0
lhs036,lhs,3839.0679479770615,0.0020371166137872704,0.9588982098193366,0.740969007833061,1000000,100,1,2,4,2,4,2,1.8676489297669245,2,1.3208248956091615,0,0.6069410293736645,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0
lhs036,lhs,3839.0679479770615,0.0020371166137872704,0.9588982098193366,0.740969007833061,20,100,1,2,4,2,4,2,1.8676489297669245,2,1.3208248956091615,0,0.6069410293736645,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0
lhs036,lhs,3839.0679479770615,0.0020371166137872704,0.9588982098193366,0.740969007833061,10,100,1,2,4,2,4,2,1.8676489297669245,2,1.3208248956091615,0,0.6069410293736645,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,served_set_only,0,0,-2,-4,0.0,0,0,,,,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0,identical,2,4,0,0,1.0,0,0,0.0,0.0,0.0
lhs037,lhs,108969.9345991624,0.0039269331861385886,0.972797871642288,0.7504115314971069,1000000,100,1,5,15,5,15,5,2.2387601026427575,1,0.7820003459171269,2,0.980753497849188,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,1,2,-4,-13,0.13333333333333333,0,1,0.0,73.0,0.0,served_and_memory,1,2,-4,-13,0.13333333333333333,0,1,0.0,73.0,0.0,served_and_memory,4,11,-1,-4,0.7333333333333333,0,1,0.0,6.25,0.0,served_and_memory,4,11,-1,-4,0.7333333333333333,0,1,0.0,6.25,0.0,served_and_memory,3,7,-2,-8,0.4666666666666667,0,1,0.0,24.333333333333332,0.0,served_and_memory,3,7,-2,-8,0.4666666666666667,0,1,0.0,24.333333333333332,0.0
lhs037,lhs,108969.9345991624,0.0039269331861385886,0.972797871642288,0.7504115314971069,20,100,1,5,15,5,15,5,2.2387601026427575,1,0.7820003459171269,2,0.980753497849188,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,1,2,-4,-13,0.13333333333333333,0,1,0.0,73.0,0.0,served_and_memory,1,2,-4,-13,0.13333333333333333,0,1,0.0,73.0,0.0,served_and_memory,4,11,-1,-4,0.7333333333333333,0,1,0.0,6.25,0.0,served_and_memory,4,11,-1,-4,0.7333333333333333,0,1,0.0,6.25,0.0,served_and_memory,3,7,-2,-8,0.4666666666666667,0,1,0.0,24.333333333333332,0.0,served_and_memory,3,7,-2,-8,0.4666666666666667,0,1,0.0,24.333333333333332,0.0
lhs037,lhs,108969.9345991624,0.0039269331861385886,0.972797871642288,0.7504115314971069,10,100,1,4,10,4,10,4,2.792116457495713,1,0.8648509454900405,2,0.9851120212203891,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,routing,1,2,-3,-8,0.09090909090909091,1,1,1.0,73.0,-63.333333333333336,routing,1,2,-3,-8,0.09090909090909091,1,1,1.0,73.0,-63.333333333333336,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111,routing,3,7,-1,-3,0.5454545454545454,1,1,0.3333333333333333,24.333333333333332,-21.11111111111111
lhs038,lhs,6791.545880265594,0.006641561625865665,0.9804381986748917,0.8762320936323245,1000000,100,1,11,53,11,53,10,4.699921542225485,8,1.4672332773713042,7,1.761618431972593,memory_only,0,0,1.0,0,6,0.0,0.0,0.0,served_and_memory,2,4,-9,-49,0.07547169811320754,0,2,0.0,60.5,0.0,served_and_memory,2,4,-9,-49,0.07547169811320754,0,2,0.0,60.5,0.0,served_and_memory,4,11,-7,-42,0.20754716981132076,0,2,0.0,30.25,0.0,served_and_memory,4,11,-7,-42,0.20754716981132076,0,2,0.0,30.25,0.0,routing,6,27,-5,-26,0.48148148148148145,1,5,0.5,18.5,-1.0,routing,6,27,-5,-26,0.48148148148148145,1,5,0.5,18.5,-1.0
lhs038,lhs,6791.545880265594,0.006641561625865665,0.9804381986748917,0.8762320936323245,20,100,1,7,18,7,18,5,3.3077188788734757,4,1.1076295121247308,4,1.3275226041279924,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,2,4,-5,-14,0.2222222222222222,0,2,0.0,48.0,0.0,served_and_memory,2,4,-5,-14,0.2222222222222222,0,2,0.0,48.0,0.0,served_and_memory,4,11,-3,-7,0.6111111111111112,0,3,0.0,12.0,0.0,served_and_memory,4,11,-3,-7,0.6111111111111112,0,3,0.0,12.0,0.0,served_and_memory,5,16,-2,-2,0.8888888888888888,0,4,0.0,0.0,0.0,served_and_memory,5,16,-2,-2,0.8888888888888888,0,4,0.0,0.0,0.0
lhs038,lhs,6791.545880265594,0.006641561625865665,0.9804381986748917,0.8762320936323245,10,100,1,5,10,5,10,3,3.3077188788734757,3,1.1076295121247308,3,1.3275226041279924,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,2,4,-3,-6,0.4,0,1,0.0,24.0,0.0,served_and_memory,2,4,-3,-6,0.4,0,1,0.0,24.0,0.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,16.0,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,16.0,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,16.0,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,16.0,-25.0
