hops,worst_link_km,closed_form,q=1 exponential mean,q=1 exponential se,q=1 geometric mean,q=1 geometric se,q=0.95 mean,q=0.95 se,q=0.7 mean,q=0.7 se
4,75.0,0.8694019147960705,0.8674392371253778,0.001395955716950481,0.8713719216970267,0.0013419628980187344,0.8672918320617915,0.0018926011285117436,0.8496412142468525,0.0038993718397896133
8,72.0,0.8319059492879125,0.8324626137667619,0.0012686731967768196,0.8344218027754005,0.0012999911296620132,0.827630091040513,0.001788727244501846,0.7952880925953036,0.0034955997432742905
12,75.0,0.6613473641385053,0.6614644349486927,0.0017085259179346005,0.6602488521779702,0.0016871002045789753,0.6485628830435144,0.002453625603069405,0.575635492513188,0.004740719601347183
16,76.25,0.6183142426487388,0.6176509499514655,0.0017005909458965855,0.6198530566009506,0.0017186892793181281,0.6020910029885868,0.002394617459991394,0.5289437452604572,0.004513389198322932
19,75.71428571428571,0.5244419121630975,0.5251196226408694,0.0016622656251942597,0.5272271731272226,0.0016641308603553234,0.49830898889061515,0.0023297956301625627,0.4277085197658558,0.004231142344568126
