generation_rate_hz,link_fidelity,t2_s,swap_success,status,utility,n_repeaters,served_pairs,total_pairs,all_pairs_served,min_w_pmin,n_model_vars,solve_seconds,repeaters,mean_hops,mean_fidelity
14142.13562373095,0.9590000000000001,0.001,0.5,infeasible,-50.0,0,0,18,0,,0,0.0004028999974252656,,,
14142.13562373095,0.9590000000000001,0.001,0.5195652173913043,infeasible,-50.0,0,0,18,0,,0,0.000258400003076531,,,
14142.13562373095,0.9590000000000001,0.001,0.5391304347826087,infeasible,-50.0,0,0,18,0,,0,0.00026310000248486176,,,
14142.13562373095,0.9590000000000001,0.001,0.558695652173913,infeasible,-50.0,0,0,18,0,,0,0.000246899995545391,,,
14142.13562373095,0.9590000000000001,0.001,0.5782608695652174,infeasible,-50.0,0,0,18,0,,0,0.0002303000001120381,,,
14142.13562373095,0.9590000000000001,0.001,0.5978260869565217,infeasible,-50.0,0,0,18,0,,0,0.00021969999943394214,,,
14142.13562373095,0.9590000000000001,0.001,0.6173913043478261,infeasible,-50.0,0,0,18,0,,0,0.00022259999968810007,,,
14142.13562373095,0.9590000000000001,0.001,0.6369565217391304,infeasible,-50.0,0,0,18,0,,0,0.00021769999875687063,,,
14142.13562373095,0.9590000000000001,0.001,0.6565217391304348,infeasible,-50.0,0,0,18,0,,0,0.00021890000061830506,,,
14142.13562373095,0.9590000000000001,0.001,0.6760869565217391,infeasible,-50.0,0,0,18,0,,0,0.00018199999612988904,,,
14142.13562373095,0.9590000000000001,0.001,0.6956521739130435,infeasible,-50.0,0,0,18,0,,0,0.00017720000323606655,,,
14142.13562373095,0.9590000000000001,0.001,0.7152173913043478,infeasible,-50.0,0,0,18,0,,0,0.0001999000014620833,,,
14142.13562373095,0.9590000000000001,0.001,0.7347826086956522,infeasible,-50.0,0,0,18,0,,0,0.00017300000035902485,,,
14142.13562373095,0.9590000000000001,0.001,0.7543478260869565,infeasible,-50.0,0,0,18,0,,0,0.00016260000120382756,,,
14142.13562373095,0.9590000000000001,0.001,0.7739130434782608,infeasible,-50.0,0,0,18,0,,0,0.00016170000162674114,,,
14142.13562373095,0.9590000000000001,0.001,0.7934782608695652,infeasible,-50.0,0,0,18,0,,0,0.0001579000017954968,,,
14142.13562373095,0.9590000000000001,0.001,0.8130434782608695,infeasible,-50.0,0,0,18,0,,0,0.0001531999951112084,,,
14142.13562373095,0.9590000000000001,0.001,0.8326086956521739,infeasible,-50.0,0,0,18,0,,0,0.00015010000061010942,,,
14142.13562373095,0.9590000000000001,0.001,0.8521739130434782,infeasible,-50.0,0,0,18,0,,0,0.00014740000187885016,,,
